EMPLOYEE_ID,EMPLOYMENT_TYPE,PHONE,NATIONALITY,GENDER,DATE_OF_BIRTH,NOTICE_PERIOD_DAYS
1,Full-time,9182451462,Singaporean,Male,1995-08-16,60
2,Managed Workforce,001-248-728-1489x3252,Indian,Female,1990-10-26,30
3,Full-time,401.454.3039x1171,Vietnamese,Female,1977-01-22,60
4,Full-time,+1-978-924-8963x83465,Vietnamese,Female,1989-07-09,60
5,Full-time,533-215-0983,Thai,Male,1988-06-23,60
6,Contractor,603-910-5183,Filipino,Female,1996-01-19,60
7,Full-time,582.399.7376,Thai,Male,1998-09-07,60
8,Full-time,865-766-7010,Indonesian,Female,1992-09-11,60
9,Managed Workforce,633-938-7262,Indian,Male,1984-03-14,60
10,Full-time,517.481.0801,Vietnamese,Male,1982-01-03,60
11,Full-time,(977)436-0260x64746,Thai,Female,1982-06-15,90
12,Full-time,243.909.8050,Indian,Female,1999-09-21,60
13,Full-time,582.208.1219x13619,Vietnamese,Female,1978-02-02,60
14,Full-time,+1-816-499-8543x534,Indian,Male,1976-04-02,60
15,Full-time,+1-647-451-0799x11838,Indian,Male,1992-04-23,30
16,Full-time,(613)354-2784x980,Indian,Female,1992-04-24,60
17,Managed Workforce,(541)718-2449,Filipino,Male,1991-04-29,60
18,Full-time,248.274.0164,Indonesian,Male,1996-01-18,30
19,Full-time,724-427-8680x11280,Malaysian,Female,1982-07-24,60
20,Full-time,(420)545-0533x15869,Indian,Male,1982-03-15,30
21,Full-time,(426)302-5634,Vietnamese,Female,1985-10-24,90
22,Full-time,(707)633-7543x3036,Thai,Female,1978-04-29,60
23,Full-time,645-486-8501,Vietnamese,Male,1990-02-14,30
24,Contractor,001-340-819-6556,Vietnamese,Male,2002-09-02,30
25,Contractor,001-734-806-0883,Filipino,Male,1987-04-02,30
26,Full-time,759-851-4846,Malaysian,Male,1995-08-13,60
27,Full-time,001-248-623-6629x946,Filipino,Female,1981-04-25,30
28,Full-time,336-699-5777x3872,Vietnamese,Male,1989-08-10,60
29,Contractor,395.913.4332x00379,Malaysian,Non-binary,1995-06-07,30
30,Full-time,(993)267-6320x16328,Indonesian,Female,2000-04-20,30
31,Contractor,+1-731-972-7889,Thai,Female,1986-02-26,30
32,Full-time,+1-986-587-2774x348,Indian,Female,1990-05-19,30
33,Full-time,571-843-4558x122,Singaporean,Male,1987-03-03,30
34,Full-time,001-823-816-6587x603,Malaysian,Female,1972-11-11,90
35,Full-time,001-590-996-7054x66889,Singaporean,Female,1977-02-18,30
36,Full-time,946.470.6562,Malaysian,Male,1982-12-19,60
37,Full-time,+1-280-669-9016x272,Filipino,Male,1976-08-10,60
38,Full-time,(253)775-5646x4170,Vietnamese,Male,1985-06-19,60
39,Contractor,510.403.3092,Vietnamese,Male,1980-05-14,30
40,Full-time,319.237.4529x9124,Filipino,Female,1984-12-31,90
41,Full-time,296-763-1931x4919,Singaporean,Non-binary,1973-04-24,30
42,Full-time,+1-365-818-5067,Vietnamese,Male,1986-10-11,30
43,Full-time,(672)762-8498x776,Indonesian,Female,1987-09-20,60
44,Contractor,714.273.7996,Filipino,Female,1994-11-16,90
45,Full-time,552.373.5454x9480,Indian,Male,1993-02-27,30
46,Contractor,367.683.7770,Filipino,Female,1982-06-26,60
47,Full-time,763.849.5788,Malaysian,Female,1992-04-25,60
48,Full-time,001-485-557-4443x1351,Vietnamese,Male,1986-01-19,30
49,Full-time,674.598.9413,Indian,Female,1998-03-19,60
50,Full-time,(924)308-2400x842,Singaporean,Male,1975-04-24,30
